agent,reward_scale,cost_bps,cost_value,test_return,test_return_std,test_sharpe,test_max_dd,test_turnover,train_time_sec,model_path
Double-Q,10,2.5bps,0.00025,-0.08376264899271346,4.240695103693048,-2.6144497746272437,8.331326436314901,96.51764705882353,1263.5390620231628,exploration_analysis/models/double_q_scale10_cost2.5bps.pkl
UCB-Q,10,2.5bps,0.00025,4.249466203461472,14.059212381515648,40.007407343255174,24.504781966771326,95.6470588235294,1882.2299890518188,exploration_analysis/models/ucb_q_scale10_cost2.5bps.pkl
Double-Q,10,25bps,0.0025,-3.005563865902905,2.76456177896804,-143.9019089590253,13.087140731874037,94.17254901960781,1259.4789950847626,exploration_analysis/models/double_q_scale10_cost25bps.pkl
UCB-Q,10,25bps,0.0025,-0.057886029868114974,9.911512445136704,-0.7730379962912672,13.134302290873123,94.0313725490196,1883.314757823944,exploration_analysis/models/ucb_q_scale10_cost25bps.pkl
Double-Q,10,50bps,0.005,-3.505812587984247,5.3838548937300414,-86.19107950808579,13.861774508314994,89.5843137254902,1257.918911933899,exploration_analysis/models/double_q_scale10_cost50bps.pkl
UCB-Q,10,50bps,0.005,-4.7794219128044935,11.374140925626179,-55.619077105184466,23.53004934845453,93.9843137254902,1885.228973865509,exploration_analysis/models/ucb_q_scale10_cost50bps.pkl
Double-Q,50,2.5bps,0.00025,-0.08376264899271346,4.240695103693048,-2.6144497746272437,8.331326436314901,96.51764705882353,1257.1286749839783,exploration_analysis/models/double_q_scale50_cost2.5bps.pkl
UCB-Q,50,2.5bps,0.00025,2.728395180371379,12.125832191852796,29.782608663649683,18.48450191750809,95.71764705882352,1883.3272500038147,exploration_analysis/models/ucb_q_scale50_cost2.5bps.pkl
Double-Q,50,25bps,0.0025,-3.005563865902905,2.76456177896804,-143.9019089590253,13.087140731874037,94.17254901960781,1255.8844270706177,exploration_analysis/models/double_q_scale50_cost25bps.pkl
UCB-Q,50,25bps,0.0025,3.2265423176349506,15.075797518266798,28.328533434783303,15.603279796491377,95.83529411764707,1885.0707399845123,exploration_analysis/models/ucb_q_scale50_cost25bps.pkl
Double-Q,50,50bps,0.005,-3.505812587984247,5.3838548937300414,-86.19107950808579,13.861774508314994,89.5843137254902,1255.5562238693237,exploration_analysis/models/double_q_scale50_cost50bps.pkl
UCB-Q,50,50bps,0.005,-6.427452358008223,9.02219332646552,-94.29610196298736,24.537896995151833,94.18039215686272,1886.0214052200317,exploration_analysis/models/ucb_q_scale50_cost50bps.pkl
Double-Q,100,2.5bps,0.00025,-0.08376264899271346,4.240695103693048,-2.6144497746272437,8.331326436314901,96.51764705882353,1260.27641415596,exploration_analysis/models/double_q_scale100_cost2.5bps.pkl
UCB-Q,100,2.5bps,0.00025,2.0466598992689544,10.887852544064634,24.881150656640123,11.414012924473994,94.94117647058823,1883.7338871955872,exploration_analysis/models/ucb_q_scale100_cost2.5bps.pkl
Double-Q,100,25bps,0.0025,-3.005563865902905,2.76456177896804,-143.9019089590253,13.087140731874037,94.17254901960781,1256.91725897789,exploration_analysis/models/double_q_scale100_cost25bps.pkl
UCB-Q,100,25bps,0.0025,-1.373161216831642,12.964108435238764,-14.019931487410844,16.185121778668055,95.34901960784313,1887.4864110946655,exploration_analysis/models/ucb_q_scale100_cost25bps.pkl
Double-Q,100,50bps,0.005,-3.505812587984247,5.3838548937300414,-86.19107950808579,13.861774508314994,89.5843137254902,1258.3184871673584,exploration_analysis/models/double_q_scale100_cost50bps.pkl
UCB-Q,100,50bps,0.005,-5.856157860175825,8.16248680867161,-94.96362414282336,26.94979441861294,92.66666666666666,1883.5378019809723,exploration_analysis/models/ucb_q_scale100_cost50bps.pkl
Double-Q,200,2.5bps,0.00025,-0.08376264899271346,4.240695103693048,-2.6144497746272437,8.331326436314901,96.51764705882353,1256.4162838459015,exploration_analysis/models/double_q_scale200_cost2.5bps.pkl
UCB-Q,200,2.5bps,0.00025,1.6870225050645171,10.641844916054016,20.983163305399252,20.808372641330074,95.05098039215686,1894.5508797168732,exploration_analysis/models/ucb_q_scale200_cost2.5bps.pkl
Double-Q,200,25bps,0.0025,-3.005563865902905,2.76456177896804,-143.9019089590253,13.087140731874037,94.17254901960781,1309.6000909805298,exploration_analysis/models/double_q_scale200_cost25bps.pkl
UCB-Q,200,25bps,0.0025,0.9109486635855868,10.539241567661438,11.440672501701865,16.882017651675916,95.52156862745097,1887.930810213089,exploration_analysis/models/ucb_q_scale200_cost25bps.pkl
Double-Q,200,50bps,0.005,-3.505812587984247,5.3838548937300414,-86.19107950808579,13.861774508314994,89.5843137254902,1255.9054057598114,exploration_analysis/models/double_q_scale200_cost50bps.pkl
UCB-Q,200,50bps,0.005,-5.340697484523571,10.237250145740704,-69.05286018871246,27.459148162579638,95.31764705882351,1888.9845991134644,exploration_analysis/models/ucb_q_scale200_cost50bps.pkl
